time,vehicle_id,event
2015-02-01 05:45:00+00,V21554,pickup
2015-02-01 05:47:00+00,V15049,dropoff
2015-02-01 05:47:00+00,V14982,dropoff
2015-02-01 05:48:00+00,V15196,dropoff
2015-02-01 05:52:00+00,V17965,dropoff
2015-02-01 05:58:00+00,V21554,dropoff
2015-02-01 05:58:00+00,V16571,pickup
2015-02-01 05:59:00+00,V21671,pickup
2015-02-01 06:02:00+00,V16971,pickup
2015-02-01 06:04:00+00,V21671,dropoff
2015-02-01 06:06:00+00,V16571,dropoff
2015-02-01 06:07:00+00,V18093,pickup
2015-02-01 06:08:00+00,V18485,pickup
2015-02-01 06:09:00+00,V19287,pickup
2015-02-01 06:10:00+00,V15676,pickup
2015-02-01 06:13:00+00,V16971,dropoff
2015-02-01 06:13:00+00,V19040,pickup
2015-02-01 06:14:00+00,V15282,pickup
2015-02-01 06:17:00+00,V18485,dropoff
2015-02-01 06:20:00+00,V18093,dropoff
2015-02-01 06:20:00+00,V17817,pickup
2015-02-01 06:25:00+00,V15282,dropoff
2015-02-01 06:26:00+00,V19287,dropoff
2015-02-01 06:29:00+00,V19040,dropoff
2015-02-01 06:30:00+00,V17817,dropoff
2015-02-01 06:32:00+00,V20530,pickup
2015-02-01 06:33:00+00,V15253,pickup
2015-02-01 06:34:00+00,V20530,dropoff
2015-02-01 06:37:00+00,V15676,dropoff
2015-02-01 06:37:00+00,V15253,dropoff
2015-02-01 06:37:00+00,V21601,pickup
2015-02-01 06:42:00+00,V14720,pickup
2015-02-01 06:42:00+00,V16920,pickup
2015-02-01 06:42:00+00,V15722,pickup
2015-02-01 06:42:00+00,V18249,pickup
2015-02-01 06:42:00+00,V17122,pickup
2015-02-01 06:43:00+00,V19253,pickup
2015-02-01 06:44:00+00,V16118,pickup
2015-02-01 06:45:00+00,V19756,pickup
2015-02-01 06:45:00+00,V17751,pickup
2015-02-01 06:49:00+00,V21601,dropoff
2015-02-01 06:49:00+00,V17122,dropoff
2015-02-01 06:49:00+00,V17751,dropoff
2015-02-01 06:51:00+00,V15722,dropoff
2015-02-01 06:51:00+00,V18249,dropoff
2015-02-01 06:51:00+00,V19756,dropoff
2015-02-01 06:52:00+00,V19253,dropoff
2015-02-01 06:54:00+00,V16920,dropoff
2015-02-01 06:54:00+00,V20160,pickup
2015-02-01 06:56:00+00,V16118,dropoff
2015-02-01 06:56:00+00,V20252,pickup
2015-02-01 06:56:00+00,V16606,pickup
